,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
254,707.387051,1020.82773,791,3769.870241,1,3,y6+2,b27,1.99999999999991,y+2,0.0026409999999259526,0.015589999999519932,0.019410999999308842,707.3844100000001,3060.4519200000004
268,579.327546,1063.513942,1212,3769.869372,1,3,y5+2,b28,1.99999999999991,y+2,0.0017159999998739295,0.015645999999833293,0.018541999999342806,579.3258300000001,3188.5105000000003
272,350.18378,1139.896002,1265,3769.8717859999997,1,3,y3+2,b30,1.99999999999991,y+2,0.0005899999999883221,0.019185999999535852,0.020955999998932384,350.18319,3417.6531400000003
280,237.099985,1177.590897,1754,3769.872676,1,3,y2+2,b31,1.99999999999991,y+2,0.0008550000000298041,0.01981099999966318,0.02184599999918646,237.09912999999997,3530.7372000000005
13,705.381744,1021.83035,12,3770.872794,1,3,y6,y26,2.9999999999998654,Parent+2 (Unannotated),0.004033999999933258,0.07012000000122498,0.018613999999161024,705.3777100000001,3063.545490000001
229,353.194059,1532.243365,424,3770.874848,2,2,y6,y26,2.9999999999998654,Parent+2 (Unannotated),0.002567999999882886,0.06660000000101718,0.020667999999204767,705.3777100000001,3063.545490000001
278,891.206918,1097.1974,1646,3770.818154,3,1,,,2.9999999999998654,Parent+2 (Unannotated),,,0.036026000000674685,,
65,647.250748,1238.186551,64,3770.8745980000003,2,2,b12+1,y21+2,2.9999999999998654,"b+1, y+2",0.0055360000001201115,0.013701999999284453,0.020417999999608583,1293.48812,2475.3515600000005
83,760.33525,1125.10197,84,3770.8744399999996,2,2,b14+1,y19+2,2.9999999999998654,"b+1, y+2",0.006420000000161963,0.01265999999941414,0.020259999998870626,1519.6562399999998,2249.1834400000002
101,845.730494,1233.682271,105,3770.873753,3,1,b23+1,y10+2,2.9999999999998654,"b+1, y+2",0.010892000000239932,0.007500999999820124,0.019572999999127205,2535.16491,1233.67477
