,m/z A,m/z B,Ranking,comp_1_m/z A,comp_4_m/z B,1*m/z A + 4*m/z B,comp_2_m/z A,comp_3_m/z B,2*m/z A + 3*m/z B,comp_3_m/z A,comp_2_m/z B,3*m/z A + 2*m/z B,comp_4_m/z A,comp_1_m/z B,4*m/z A + 1*m/z B,1*m/z A + 3*m/z B,2*m/z A + 2*m/z B,3*m/z A + 1*m/z B
323656,559.35432567,1125.67476886,70,559.35432567,4502.69907544,5062.053401110001,1118.70865134,3377.0243065800005,4495.73295792,1678.06297701,2251.34953772,3929.41251473,2237.41730268,1125.67476886,3363.09207154,3936.3786322500005,3370.05818906,2803.7377458700003
1166916,665.43100376,892.19044005,71,665.43100376,3568.7617602,4234.19276396,1330.86200752,2676.5713201500002,4007.43332767,1996.29301128,1784.3808801,3780.67389138,2661.72401504,892.19044005,3553.91445509,3342.00232391,3115.24288762,2888.48345133
2021731,705.67371483,1184.72177837,72,705.67371483,4738.88711348,5444.56082831,1411.34742966,3554.1653351100003,4965.51276477,2117.02114449,2369.44355674,4486.46470123,2822.69485932,1184.72177837,4007.4166376900002,4259.83904994,3780.7909864000003,3301.7429228600004
1378672,673.9106534,1183.71377129,73,673.9106534,4734.85508516,5408.7657385600005,1347.8213068,3551.14131387,4898.9626206699995,2021.7319602,2367.42754258,4389.15950278,2695.6426136,1183.71377129,3879.3563848900003,4225.05196727,3715.24884938,3205.44573149
4748625,798.4457709,1030.95842364,74,798.4457709,4123.83369456,4922.27946546,1596.8915418,3092.8752709200003,4689.76681272,2395.3373127,2061.91684728,4457.254159980001,3193.7830836,1030.95842364,4224.74150724,3891.32104182,3658.80838908,3426.29573634
324109,559.36077567,560.36384174,75,559.36077567,2241.45536696,2800.81614263,1118.72155134,1681.09152522,2799.81307656,1678.08232701,1120.72768348,2798.81001049,2237.44310268,560.36384174,2797.80694442,2240.45230089,2239.44923482,2238.4461687499997
322394,559.35432567,862.51654479,76,559.35432567,3450.06617916,4009.42050483,1118.70865134,2587.54963437,3706.25828571,1678.06297701,1725.03308958,3403.09606659,2237.41730268,862.51654479,3099.93384747,3146.90396004,2843.7417409199998,2540.5795218
1163380,665.42238076,892.8655741,77,665.42238076,3571.4622964,4236.88467716,1330.84476152,2678.5967223,4009.44148382,1996.26714228,1785.7311482,3781.99829048,2661.68952304,892.8655741,3554.55509714,3344.01910306,3116.57590972,2889.1327163799997
3178661,748.70239811,1014.61406839,78,748.70239811,4058.45627356,4807.15867167,1497.40479622,3043.84220517,4541.24700139,2246.10719433,2029.22813678,4275.33533111,2994.80959244,1014.61406839,4009.42366083,3792.54460328,3526.632933,3260.7212627199997
3027520,743.46907471,840.16024408,79,743.46907471,3360.64097632,4104.11005103,1486.93814942,2520.48073224,4007.41888166,2230.40722413,1680.32048816,3910.72771229,2973.87629884,840.16024408,3814.03654292,3263.94980695,3167.25863758,3070.56746821
1723028,694.42227497,799.14970896,80,694.42227497,3196.59883584,3891.02111081,1388.84454994,2397.44912688,3786.29367682,2083.2668249099997,1598.29941792,3681.5662428299997,2777.68909988,799.14970896,3576.8388088399997,3091.8714018500004,2987.14396786,2882.4165338699995
2296285,714.95639853,858.83253251,81,714.95639853,3435.33013004,4150.28652857,1429.91279706,2576.49759753,4006.4103945899997,2144.86919559,1717.66506502,3862.53426061,2859.82559412,858.83253251,3718.65812663,3291.45399606,3147.57786208,3003.7017281
723450,630.39209208,816.7485913,82,630.39209208,3266.9943652,3897.3864572800003,1260.78418416,2450.2457739,3711.0299580600004,1891.1762762399999,1633.4971826,3524.67345884,2521.56836832,816.7485913,3338.31695962,3080.6378659800002,2894.2813667600003,2707.92486754
518548,595.35452841,1198.2234754,83,595.35452841,4792.8939016,5388.24843001,1190.70905682,3594.6704262000003,4785.37948302,1786.0635852299997,2396.4469508,4182.51053603,2381.41811364,1198.2234754,3579.64158904,4190.02495461,3587.1560076200003,2984.28706063
2724044,731.19377777,1085.65087081,84,731.19377777,4342.60348324,5073.7972610100005,1462.38755554,3256.95261243,4719.34016797,2193.58133331,2171.30174162,4364.88307493,2924.77511108,1085.65087081,4010.42598189,3988.1463902,3633.68929716,3279.23220412
634164,613.32918578,723.43894818,85,613.32918578,2893.75579272,3507.0849785,1226.65837156,2170.31684454,3396.9752161,1839.98755734,1446.87789636,3286.8654537,2453.31674312,723.43894818,3176.7556913,2783.64603032,2673.53626792,2563.42650552
1443369,676.90708163,885.20308052,86,676.90708163,3540.81232208,4217.71940371,1353.81416326,2655.6092415599996,4009.4234048199996,2030.72124489,1770.40616104,3801.12740593,2707.62832652,885.20308052,3592.83140704,3332.5163231899996,3124.2203243,2915.92432541
4726416,798.23661189,815.4721272,87,798.23661189,3261.8885088,4060.12512069,1596.47322378,2446.4163816,4042.88960538,2394.70983567,1630.9442544,4025.65409007,3192.94644756,815.4721272,4008.41857476,3244.65299349,3227.41747818,3210.18196287
