m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	line_id	mz_A_original	mz_B_original	charge_A	charge_B	deconv_method
666.37648	876.5072399999999	1533902.2	509392.78	181.33005	455	23223.695313	590116.625	8	669.375009	877.109129	1	5	ffc_line
842.48568	842.2850000000001	119296.84	82050.477	109.94998	11553	3292.248291	122615.421875	8	841.491442	842.686463	1	5	ffc_line
733.4287800000001	864.69836	19046.164	18159.184	111.58532	10773	4666.644043	3991.300781	8	732.431948	864.498546	1	5	ffc_line
700.41238	870.5037000000001	17589.179	16112.537	107.43922	12833	2537.346436	5535.236816	8	697.406032	871.50806	1	5	ffc_line
761.44908	858.1072	34481.601	29642.641	130.74468	4678	4009.387207	14251.366211	8	762.451603	858.508539	1	5	ffc_line
712.24458	867.7536200000001	25162.435	23934.702	103.35928	14999	3985.03833	3080.392334	8	716.251977	867.753617	1	5	ffc_line
844.078755	850.48828	185571.07	142591.01	148.35902	2082	4098.766113	117142.5	9	844.078766	850.488259	4	2	ffc_line
845.586505	850.48828	106160.77	78781.832	114.60341	9517	13109.088867	23569.384766	9	845.085488	848.488103	4	2	ffc_line
831.47963	876.70803	38927.068	37989.843	108.8488	12112	2842.877197	3494.262207	9	831.479622	875.70008	4	2	ffc_line
841.983955	850.1856300000001	34926.656	33429.592	111.19981	10948	3957.466797	6556.513184	9	843.485515	851.689123	4	2	ffc_line
844.784705	847.08478	197354.27	127974.18	125.70145	5859	24075.431641	26090.808594	9	845.286388	848.087446	4	2	ffc_line
839.18093	859.30118	20298.784	18708.729	103.91018	14671	8047.654297	2805.792969	9	838.681631	861.298465	4	2	ffc_line
837.03538	862.09533	52752.444	48682.226	138.26544	3298	9987.385742	4422.162109	9	838.286359	862.095345	4	2	ffc_line
844.784705	847.08478	80562.144	67569.971	143.64966	2583	24075.431641	3750.088379	9	845.286388	848.095349	4	2	ffc_line
823.82903	888.52373	20297.368	19407.987	137.37647	3433	2676.454346	4092.946777	9	825.079787	888.523724	4	2	ffc_line
820.08258	898.5279300000001	123716.33	73484.12	105.16518	13958	167332.8125	4036.704102	9	820.082578	898.527923	4	2	ffc_line
838.4226050000001	861.8966800000001	11393.269	9779.0828	125.29707	5979	3394.878662	5003.456055	9	838.422605	861.896686	4	2	ffc_line
845.0847400000001	868.50368	55227.105	46918.03	157.77151	1336	6305.816406	10765.90918	10	844.683314	867.501271	5	1	ffc_line
847.08244	854.4921800000001	698247.98	428710.79	181.64469	446	26090.808594	117142.5	10	848.087446	850.488259	5	1	ffc_line
845.28542	859.50198	61409.617	51507.684	112.69434	10298	5684.799805	30220.404297	10	846.28796	859.501967	5	1	ffc_line
847.8872799999999	854.4921800000001	35207.173	32325.105	110.48408	11285	5751.926758	6681.553223	10	847.690508	852.495199	5	1	ffc_line
816.0759800000001	1009.58988	197427.38	117543.47	117.00395	8575	52407.773438	21298.326172	10	816.277196	1009.589842	5	1	ffc_line
827.2815800000001	946.56358	24379.446	22313.196	106.82872	13110	7658.361816	4401.516602	10	828.483925	948.560301	5	1	ffc_line
844.8939399999999	868.50368	52972.77	48125.717	125.12977	6026	16812.216797	3991.300781	10	845.296392	864.498546	5	1	ffc_line
844.8939399999999	859.50198	53361.052	47977.15	124.48233	6199	13391.432617	6297.514648	10	845.696579	862.497832	5	1	ffc_line
844.8939399999999	868.50368	86321.68	67865.225	114.51219	9559	10868.967773	17698.03125	10	845.096244	865.501197	5	1	ffc_line
844.8939399999999	859.50198	47399.266	42870.065	131.05151	4610	13391.432617	4750.254395	10	845.696579	862.508567	5	1	ffc_line
798.47076	1095.63658	20348.949	19712.949	122.8458	6642	4589.588379	3262.42749	10	799.071803	1095.63655	5	1	ffc_line
850.3528466666668	856.2873466666667	296102.33	176440.76	115.22703	9261	404004.53125	4483.058594	11	850.687284	856.28736	3	3	ffc_line
838.4070466666668	867.5678466666667	68276.865	56071.163	111.27334	10908	13649.249023	9854.171875	11	839.081842	867.902289	3	3	ffc_line
836.7516133333335	869.56588	260218.48	173565.61	150.42443	1878	41186.617188	20984.908203	11	837.086062	869.900339	3	3	ffc_line
847.75298	859.9032800000001	82344.534	71945.837	117.84965	8273	25183.009766	5062.668945	11	847.08404	859.903272	3	3	ffc_line
829.34338	876.9752133333334	282582.85	199591.15	142.04804	2771	11287.107422	139500.296875	11	829.67784	877.309663	3	3	ffc_line
829.7445133333333	876.90858	1149649.1	410818.69	122.76828	6661	9555.654297	1015380.8125	11	830.078978	876.908572	3	3	ffc_line
702.07128	1004.58498	21464.059	19935.234	104.57447	14300	5854.785645	3030.280762	11	702.405715	1004.584992	3	3	ffc_line
832.3516133333334	872.9696466666667	109013.82	92802.405	120.57842	7380	3444.924316	160207.640625	11	833.693168	873.304103	3	3	ffc_line
767.96068	938.7041800000001	12248.513	9551.5593	103.49041	14925	3174.126709	8168.974121	11	767.960689	939.038617	3	3	ffc_line
826.15158	879.1808133333333	54087.638	48443.618	149.78361	1931	7539.541992	6708.006348	11	827.484121	879.515267	3	3	ffc_line
786.9659133333333	920.0391466666667	14752.849	13963.152	109.26775	11880	2552.592285	6257.712891	11	786.965913	920.039152	3	3	ffc_line
835.5551800000001	851.0877466666667	221413.39	138792.33	118.55118	8027	3121.884277	284182.84375	12	834.88239	851.087763	3	3	ffc_line
833.1483133333334	854.1577466666666	820387.02	259718.51	108.92903	12071	2842.877197	1393404.625	12	831.479622	854.49221	3	3	ffc_line
711.7429133333334	973.2255133333334	29698.215	27500.638	104.45741	14364	6037.920898	4340.083496	12	711.742718	974.229434	3	3	ffc_line
836.5508466666668	847.75298	98649.789	82313.364	141.74202	2825	80883.578125	2736.526123	12	836.885299	849.089048	3	3	ffc_line
838.7565133333334	845.5526133333334	31334.626	27528.975	118.49316	8049	6415.053223	5227.208496	12	839.09095	846.884483	3	3	ffc_line
819.1460800000001	867.1668133333334	50246.604	42188.343	107.24715	12923	31289.753906	4177.890625	12	819.480521	866.495799	3	3	ffc_line
826.15158	859.1675133333334	38657.503	31360.906	105.82644	13632	5594.212402	15757.586914	12	825.481493	860.500213	3	3	ffc_line
826.15158	858.5085466666667	63305.771	54276.083	137.88826	3365	7539.541992	14251.366211	12	827.484121	858.508539	3	3	ffc_line
829.94318	869.3661466666666	28313.299	25767.982	107.04062	13030	3796.655518	10277.397461	13	830.277637	870.704313	3	3	ffc_line
725.0814133333334	971.5607133333334	55398.487	47974.114	146.11443	2297	9449.703125	9654.251953	13	727.755643	973.227869	3	3	ffc_line
838.1523466666666	862.1633800000001	66424.4	55046.392	114.74803	9468	20488.523438	6297.514648	13	838.486792	862.497832	3	3	ffc_line
845.1516133333333	854.1577466666666	768405.08	319517.95	151.15877	1817	4303.096191	1393404.625	13	846.49299	854.49221	3	3	ffc_line
730.75768	971.5607133333334	46885.079	41163.653	140.59328	2975	5450.544922	25712.367188	13	728.759275	972.22912	3	3	ffc_line
823.7454133333333	876.90858	423097.25	260548.18	141.82597	2806	3626.397949	1015380.8125	13	824.079876	876.908572	3	3	ffc_line
838.1523466666666	861.1653133333333	61347.15	51775.412	146.15037	2292	20488.523438	4750.254395	13	838.486792	862.508567	3	3	ffc_line
683.06808	1016.5954466666668	84563.365	63531.994	114.98506	9374	35418.359375	9079.75	13	683.402531	1017.597973	3	3	ffc_line
842.675955	850.48828	95127.001	71637.139	105.63869	13726	2620.816406	117142.5	14	842.675946	850.488259	4	2	ffc_line
844.078755	845.68678	58821.677	49058.333	109.26527	11881	4098.766113	28549.292969	14	844.078766	847.682695	4	2	ffc_line
842.2842300000001	850.7869800000001	437087.92	208091.79	107.82406	12624	29118.369141	99709.398438	14	842.284222	851.288636	4	2	ffc_line
833.831055	864.69883	28053.914	24904.779	107.06433	13013	3622.096436	8438.897461	14	835.081899	865.702174	4	2	ffc_line
844.392505	847.08478	61695.206	53841.071	123.90962	6351	4224.503906	26090.808594	14	843.89103	848.087446	4	2	ffc_line
828.2330800000001	876.90858	67020.192	54296.318	105.06637	14031	7658.361816	24150.802734	14	828.483925	878.90543	4	2	ffc_line
844.09148	845.68678	33764.841	32444.385	128.21214	5230	3321.866211	5751.926758	14	844.091469	847.690508	4	2	ffc_line
842.887005	848.09533	158665.88	113256.47	154.41905	1564	149891.859375	3068.25293	14	842.887016	850.09957	4	2	ffc_line
842.29368	850.7869800000001	155029.81	113064.46	104.80715	14174	8574.279297	99709.398438	14	842.293689	851.288636	4	2	ffc_line
844.392505	847.08478	21899.924	20429.152	110.98412	11046	4224.503906	3750.088379	14	843.89103	848.095349	4	2	ffc_line
845.096255	845.68803	63227.213	55847.432	108.0341	12521	10868.967773	13391.432617	14	845.096244	845.696579	4	2	ffc_line
812.8734800000001	838.99186	37388.258	32251.742	110.03	11509	3893.316406	15945.200195	15	809.881081	838.991864	1	5	ffc_line
782.4599800000001	845.0847400000001	60821.619	36415.67	109.24554	11894	10809.138672	24093.560547	15	782.459959	844.48102	1	5	ffc_line
811.4763800000001	839.0804	77416.145	62166.468	126.7438	5575	5222.274902	32393.841797	15	808.474004	839.282248	1	5	ffc_line
790.4681800000001	842.28512	46763.008	38586.334	120.01758	7545	8197.385742	17653.535156	15	794.472787	842.082915	1	5	ffc_line
790.4681800000001	842.2850000000001	258799.87	152141.88	132.83182	4259	15538.541016	75921.554688	15	789.468359	843.087334	1	5	ffc_line
802.47528	839.09	33574.737	30234.318	108.772	12144	2564.651367	11508.50293	15	806.476722	839.692015	1	5	ffc_line
829.8784800000001	835.68858	32381.007	28068.115	107.32005	12888	16043.341797	2751.602051	16	829.878468	835.486405	1	5	ffc_line
816.87908	838.0854600000001	37175.222	32852.437	124.27947	6245	4149.53125	9905.740234	16	813.877647	838.689939	1	5	ffc_line
812.8734800000001	839.09	23721.396	22784.886	127.0404	5512	4695.709961	3183.197998	16	810.875847	839.293912	1	5	ffc_line
