Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
54,,523.74,701.6,,117.43927020348082,252.9888944961911,
55,b3(1+),300.02,765.44,y13-(NH3)(2+),48.205875580198445,250.9650699168201,0.141
,b3(1+),300.02,765.44,y13-(H2O)(2+),48.205875580198445,250.9650699168201,0.529
56,y3(1+),330.81,701.77,b12(2+),78.87019679030507,250.7197343829923,0.403
,y3(1+),330.81,701.77,bi(2-13)-(HN=C=NH)(2+),78.87019679030507,250.7197343829923,0.405
,b4-2(H2O)-(HCOOH)(1+),330.81,701.77,ai(5-10)-(HCOOH)(1+),78.87019679030507,250.7197343829923,0.545
,y3(1+),330.81,701.77,bi(8-13)-(H2O)(1+),78.87019679030507,250.7197343829923,0.566
,y3(1+),330.81,701.77,bi(8-13)-(NH3)(1+),78.87019679030507,250.7197343829923,0.699
,y6(2+),330.81,701.77,ai(5-10)-(HCOOH)(1+),78.87019679030507,250.7197343829923,0.722
,b4-2(H2O)-(HCOOH)(1+),330.81,701.77,y12-(HCOH)(2+),78.87019679030507,250.7197343829923,0.738
57,y6-2(NH3)-(HCOH)(1+),595.39,1074.05,b9(1+),108.96918680559043,250.65020904509328,0.516
,y6-2(NH3)-(HCOH)(1+),595.39,1074.05,bi(2-10)-(HN=C=NH)(1+),108.96918680559043,250.65020904509328,0.536
58,,341.74,537.47,,31.07999779213438,249.97179489164333,
59,b7-2(NH3)-(HCOOH)(1+),716.99,782.39,bi(8-14)-2(NH3)(1+),26.830782872355144,249.44465621183778,0.4
60,a8-(NH3)(2+),433.54,772.14,bi(9-15)-(NH3)(1+),27.36275559095251,248.50686691348002,0.32
,a8-(NH3)(2+),433.54,772.14,y7(1+),27.36275559095251,248.50686691348002,0.377
,b8-(HCOOH)(2+),433.54,772.14,bi(9-15)-(NH3)(1+),27.36275559095251,248.50686691348002,0.383
,a8-(H2O)(2+),433.54,772.14,bi(9-15)-(NH3)(1+),27.36275559095251,248.50686691348002,0.383
,a8-(H2O)(2+),433.54,772.14,y7(1+),27.36275559095251,248.50686691348002,0.432
,b8-(HCOOH)(2+),433.54,772.14,y7(1+),27.36275559095251,248.50686691348002,0.432
,ai(6-9)-(HN=C=NH)-(HCOOH)(1+),433.54,772.14,y7(1+),27.36275559095251,248.50686691348002,0.46
,bi(7-9)(1+),433.54,772.14,y7(1+),27.36275559095251,248.50686691348002,0.752
,a5-2(NH3)-(HCOH)(1+),433.54,772.14,bi(6-11)-(H2O)(1+),27.36275559095251,248.50686691348002,0.756
,a8-(NH3)(2+),433.54,772.14,bi(9-15)-(H2O)(1+),27.36275559095251,248.50686691348002,0.767
,a5-2(NH3)-(HCOH)(1+),433.54,772.14,y7(1+),27.36275559095251,248.50686691348002,0.788
,a8-(H2O)(2+),433.54,772.14,bi(9-15)-(H2O)(1+),27.36275559095251,248.50686691348002,0.795
,b8-(HCOOH)(2+),433.54,772.14,bi(9-15)-(H2O)(1+),27.36275559095251,248.50686691348002,0.795
61,bi(6-10)-(NH3)-(HCOOH)(2+),300.07,595.37,y6-2(NH3)-(HCOH)(1+),60.73053903572877,248.37435590027798,0.1
,ai(7-11)-(H2O)-(HCOH)(2+),300.07,595.37,b6-(HCOOH)(1+),60.73053903572877,248.37435590027798,0.102
,b3(1+),300.07,595.37,bi(4-8)-(NH3)(1+),60.73053903572877,248.37435590027798,0.103
,ai(7-11)-(H2O)-(HCOH)(2+),300.07,595.37,a6-(H2O)(1+),60.73053903572877,248.37435590027798,0.104
,b3(1+),300.07,595.37,y6-2(NH3)-(HCOH)(1+),60.73053903572877,248.37435590027798,0.108
,y6-(HCOH)-(HCOH)(2+),300.07,595.37,b6-(HCOOH)(1+),60.73053903572877,248.37435590027798,0.112
,y6-(HCOH)-(HCOH)(2+),300.07,595.37,a6-(H2O)(1+),60.73053903572877,248.37435590027798,0.114
,ai(6-10)-2(H2O)(2+),300.07,595.37,y6-2(NH3)-(HCOH)(1+),60.73053903572877,248.37435590027798,0.414
,bi(6-10)-(H2O)-(HCOOH)(2+),300.07,595.37,y6-2(NH3)-(HCOH)(1+),60.73053903572877,248.37435590027798,0.414
,bi(6-10)-2(NH3)-(HCOH)(2+),300.07,595.37,y6-2(NH3)-(HCOH)(1+),60.73053903572877,248.37435590027798,0.434
,b3(1+),300.07,595.37,ai(4-13)(2+),60.73053903572877,248.37435590027798,0.538
,b3(1+),300.07,595.37,y10-(NH3)(2+),60.73053903572877,248.37435590027798,0.557
,ai(6-10)-2(NH3)(2+),300.07,595.37,y6-2(NH3)-(HCOH)(1+),60.73053903572877,248.37435590027798,0.573
,ai(7-11)-(NH3)-(HCOH)(2+),300.07,595.37,b6-(HCOOH)(1+),60.73053903572877,248.37435590027798,0.59
,ai(7-11)-(NH3)-(HCOH)(2+),300.07,595.37,a6-(H2O)(1+),60.73053903572877,248.37435590027798,0.591
62,,660.75,701.33,,100.39118248558958,246.36433270832353,
63,y8-(H2O)-(HCOH)(2+),444.01,657.26,ai(3-8)-(HN=C=NH)(1+),62.86610208435333,246.33593646398816,0.256
,y4(1+),444.01,657.26,bi(2-12)-(H2O)(2+),62.86610208435333,246.33593646398816,0.285
,y4(1+),444.01,657.26,bi(2-12)-(NH3)(2+),62.86610208435333,246.33593646398816,0.64
,y4(1+),444.01,657.26,a12-(HCOH)-(HCOH)(2+),62.86610208435333,246.33593646398816,0.658
,y8-(NH3)-(HCOH)(2+),444.01,657.26,ai(3-8)-(HN=C=NH)(1+),62.86610208435333,246.33593646398816,0.745
64,y5(1+),530.99,1131.72,bi(3-11)(1+),32.764991721904245,245.8315863173807,0.349
65,b3-2(H2O)-(HCOH)(1+),233.48,661.04,y11(2+),61.54821681123893,244.7989361827871,0.668
,ai(3-5)-2(NH3)-(HCOOH)(1+),233.48,661.04,y11(2+),61.54821681123893,244.7989361827871,0.687
66,b10(2+),594.64,642.15,y6-(NH3)(1+),51.62902353893095,244.31701724567912,0.369
,b6-(NH3)-(HCOH)(1+),594.64,642.15,y6-(NH3)(1+),51.62902353893095,244.31701724567912,0.386
,a6-(H2O)(1+),594.64,642.15,y6-(NH3)(1+),51.62902353893095,244.31701724567912,0.728
,b6-(HCOOH)(1+),594.64,642.15,y6-(NH3)(1+),51.62902353893095,244.31701724567912,0.738
67,,528.98,749.33,,89.17839132928898,244.15567716215443,
68,,580.79,717.79,,138.92866367176893,243.080684633494,
69,,571.61,1074.27,,63.3451867520785,243.0448990663373,
70,,831.07,1049.26,,60.24301418153417,242.92368849969046,
71,y3(1+),331.05,685.16,bi(8-13)-2(NH3)(1+),40.48714899632939,242.72013725534222,0.219
,b4-2(H2O)-(HCOOH)(1+),331.05,685.16,y12-2(NH3)-(HCOH)(2+),40.48714899632939,242.72013725534222,0.256
,y3(1+),331.05,685.16,ai(2-13)-(NH3)-(HCOH)(2+),40.48714899632939,242.72013725534222,0.266
,y3(1+),331.05,685.16,bi(2-13)-(HCOOH)-(HCOH)(2+),40.48714899632939,242.72013725534222,0.309
,y3(1+),331.05,685.16,ai(2-13)-(H2O)-(HCOH)(2+),40.48714899632939,242.72013725534222,0.318
,y3(1+),331.05,685.16,b12-2(NH3)(2+),40.48714899632939,242.72013725534222,0.353
,y3(1+),331.05,685.16,ai(2-13)-(HCOOH)(2+),40.48714899632939,242.72013725534222,0.745
,b4-2(H2O)-(HCOOH)(1+),331.05,685.16,ai(5-10)-(NH3)-(HCOOH)(1+),40.48714899632939,242.72013725534222,0.796
,b4-2(H2O)-(HCOOH)(1+),331.05,685.16,y12-2(H2O)-(HCOH)(2+),40.48714899632939,242.72013725534222,0.796
72,y6-(H2O)(1+),641.03,1075.23,bi(2-10)-(HN=C=NH)(1+),36.16660496791017,242.5545534784804,0.729
,y6-(H2O)(1+),641.03,1075.23,b9(1+),36.16660496791017,242.5545534784804,0.747
73,,571.22,717.07,,107.88007103577534,242.0719279860294,
74,,604.39,831.12,,238.71155116466278,241.43245280899166,
75,y5(1+),530.98,841.22,ai(5-11)-2(NH3)(1+),29.176454581143606,241.00595886031837,0.386
,a6-2(H2O)-(HCOOH)(1+),530.98,841.22,bi(7-13)-2(NH3)(1+),29.176454581143606,241.00595886031837,0.394
,y5(1+),530.98,841.22,a8-(HN=C=NH)(1+),29.176454581143606,241.00595886031837,0.414
,ai(9-13)-(NH3)-(HCOH)(1+),530.98,841.22,a8-(HN=C=NH)(1+),29.176454581143606,241.00595886031837,0.734
76,y6-(HCOH)-(HCOH)(2+),300.29,498.28,a5(1+),35.00032582986496,240.34838692580254,0.117
,b3(1+),300.29,498.28,bi(4-7)(1+),35.00032582986496,240.34838692580254,0.132
,bi(6-10)-(NH3)-(HCOOH)(2+),300.29,498.28,a5(1+),35.00032582986496,240.34838692580254,0.146
,ai(6-10)-2(NH3)(2+),300.29,498.28,a5(1+),35.00032582986496,240.34838692580254,0.352
,ai(6-10)-2(H2O)(2+),300.29,498.28,a5(1+),35.00032582986496,240.34838692580254,0.631
,bi(6-10)-(H2O)-(HCOOH)(2+),300.29,498.28,a5(1+),35.00032582986496,240.34838692580254,0.631
,bi(6-10)-2(NH3)-(HCOH)(2+),300.29,498.28,a5(1+),35.00032582986496,240.34838692580254,0.651
77,ai(4-8)-(HCOOH)(1+),537.85,935.81,y8(1+),54.42673652980846,239.81357611151094,0.569
,ai(4-8)-(NH3)-(HCOH)(1+),537.85,935.81,y8(1+),54.42673652980846,239.81357611151094,0.613
78,y3(1+),331.09,558.38,b10-(HN=C=NH)-(HCOH)(2+),44.836375270333974,239.72716665616818,0.13
,y3(1+),331.09,558.38,bi(9-13)-(NH3)-(HCOH)(1+),44.836375270333974,239.72716665616818,0.142
,y3(1+),331.09,558.38,ai(4-13)-(HN=C=NH)-(HCOH)(2+),44.836375270333974,239.72716665616818,0.454
79,y6(1+),660.12,1024.45,ai(2-10)-2(NH3)-(HCOH)(1+),19.086705503702134,239.30604685610706,0.755
,y6(1+),660.12,1024.45,ai(2-10)-(H2O)-(HCOOH)(1+),19.086705503702134,239.30604685610706,0.763
80,,585.24,708.68,,66.60451229090297,238.52869240250251,
81,y3(1+),330.91,649.37,b11-(H2O)(2+),76.7340659469084,237.46658439942456,0.291
,y3(1+),330.91,649.37,bi(3-13)-2(NH3)(2+),76.7340659469084,237.46658439942456,0.293
,y3(1+),330.91,649.37,b11-(NH3)(2+),76.7340659469084,237.46658439942456,0.552
,y3(1+),330.91,649.37,a12-(HCOOH)-(HCOH)(2+),76.7340659469084,237.46658439942456,0.569
82,y6-(HCOH)-(HCOH)(2+),299.85,574.26,bi(6-10)-(HN=C=NH)-(HCOOH)(1+),49.5775643898853,237.31729682634267,0.332
,b3(1+),299.85,574.26,ai(4-13)-(HN=C=NH)(2+),49.5775643898853,237.31729682634267,0.53
83,y4-(HCOH)(1+),413.77,831.75,b8-2(NH3)-(HCOOH)(1+),80.13027624620267,236.93958576002476,0.588
,y4-(HCOH)(1+),413.77,831.75,bi(6-12)-(HCOOH)(1+),80.13027624620267,236.93958576002476,0.605
,y4-(HCOH)(1+),413.77,831.75,ai(6-12)-(H2O)(1+),80.13027624620267,236.93958576002476,0.605
,b4(1+),413.77,831.75,bi(5-11)-(HN=C=NH)-(HCOH)(1+),80.13027624620267,236.93958576002476,0.614
84,b4-(H2O)(1+),395.01,717.47,ai(5-10)-(HCOH)(1+),23.166377151005562,235.76184697186108,0.231
,b4-(H2O)(1+),395.01,717.47,y12(2+),23.166377151005562,235.76184697186108,0.234
,ai(8-14)(2+),395.01,717.47,b7-2(NH3)-(HCOOH)(1+),23.166377151005562,235.76184697186108,0.301
85,,537.76,911.21,,110.08703590344594,235.58224455244874,
86,bi(2-6)-(NH3)-(HCOH)(1+),523.46,603.02,y10(2+),121.09671813222624,235.00361177471945,0.367
87,ai(11-15)-(NH3)(1+),467.85,594.22,b10(2+),88.5115497170826,233.66146712919266,0.405
,y8(2+),467.85,594.22,b6-(NH3)-(HCOH)(1+),88.5115497170826,233.66146712919266,0.42
,y8(2+),467.85,594.22,bi(4-8)-(H2O)(1+),88.5115497170826,233.66146712919266,0.427
,a5-(HCOH)(1+),467.85,594.22,y10-(H2O)(2+),88.5115497170826,233.66146712919266,0.473
,ai(11-15)-(H2O)(1+),467.85,594.22,b10(2+),88.5115497170826,233.66146712919266,0.6
