Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
,ai(8-12)(1+),348.11,655.57,b7-2(NH3)(1+),1485.318484077144,277.9994785377323,0.712
76,,748.73,804.29,,1085.602875435833,275.4533554762484,
77,b5-(HCOH)-(HCOH)(1+),403.88,485.07,bi(6-11)-(CH3NH2)-(HCOH)(1+),3238.4738193881344,275.3644430867553,0.728
78,b5-(HCOH)(1+),432.77,588.97,y7-(H2O)-(HCOH)(1+),11628.702793226872,275.3118653033574,0.514
,bi(4-7)-(HCOH)(1+),432.77,588.97,y7-(H2O)-(HCOH)(1+),11628.702793226872,275.3118653033574,0.614
,a6-(HCOH)-(HCOH)(1+),432.77,588.97,y7-(H2O)-(HCOH)(1+),11628.702793226872,275.3118653033574,0.658
79,ai(6-8)-(H2O)(1+),239.59,550.33,y6-(HCOH)(1+),1993.7574621248057,273.215236991362,0.434
,ai(6-8)-(NH3)(1+),239.59,550.33,y6-(HCOH)(1+),1993.7574621248057,273.215236991362,0.553
80,y5(2+),261.83,515.73,bi(4-9)-(CH3NH2)-(HCOH)(1+),1986.7080263996634,271.5474975574123,0.58
,y2(1+),261.83,515.73,b12-2(NH3)(2+),1986.7080263996634,271.5474975574123,0.585
,y2(1+),261.83,515.73,bi(7-12)-(CH3NH2)(1+),1986.7080263996634,271.5474975574123,0.585
,y2(1+),261.83,515.73,b12-2(H2O)(2+),1986.7080263996634,271.5474975574123,0.585
,y5(2+),261.83,515.73,bi(4-9)-(HCOH)-(HCOH)(1+),1986.7080263996634,271.5474975574123,0.623
,y2(1+),261.83,515.73,bi(7-12)-(HCOH)(1+),1986.7080263996634,271.5474975574123,0.628
81,,188.38,788.26,,857.6877526583758,267.9669270330267,
82,,534.05,804.01,,1114.0742203844363,265.52537543317806,
83,b4-(H2O)(1+),357.88,804.35,y9-(HCOH)-(HCOH)(1+),2846.602707592917,263.43659210388324,0.279
,bi(2-5)-(H2O)-(HCOH)(1+),357.88,804.35,y9-(HCOH)-(HCOH)(1+),2846.602707592917,263.43659210388324,0.279
,y4-(H2O)(1+),357.88,804.35,b9(1+),2846.602707592917,263.43659210388324,0.301
84,y3(1+),319.3,655.06,a8-2(NH3)-(HCOH)(1+),622.3696860130341,261.0711325438352,0.264
,bi(9-12)(1+),319.3,655.06,a8-2(NH3)-(HCOH)(1+),622.3696860130341,261.0711325438352,0.28
,y3(1+),319.3,655.06,b7-2(H2O)(1+),622.3696860130341,261.0711325438352,0.761
,y7(2+),319.3,655.06,b7-2(H2O)(1+),622.3696860130341,261.0711325438352,0.763
,bi(8-11)(1+),319.3,655.06,b7-2(H2O)(1+),622.3696860130341,261.0711325438352,0.767
85,,409.94,433.58,,5436.964598350081,260.25308194140155,
86,,540.63,732.79,,1070.175568004844,259.5907867075885,
87,ai(7-8)-(H2O)-(CH3NH2)(1+),151.57,549.88,y6-(HCOH)(1+),963.5199012751783,259.51454744165744,0.618
,a4-(NH3)-(HCOH)(2+),151.57,549.88,y6-(HCOH)(1+),963.5199012751783,259.51454744165744,0.634
,ai(7-8)-(NH3)-(CH3NH2)(1+),151.57,549.88,y6-(HCOH)(1+),963.5199012751783,259.51454744165744,0.642
88,a5-2(H2O)(2+),200.23,540.8,ai(6-12)-2(NH3)(1+),1132.445509031227,257.8523739626967,0.471
,b5-2(NH3)-(HCOH)(2+),200.23,540.8,ai(6-12)-2(NH3)(1+),1132.445509031227,257.8523739626967,0.478
89,y1(1+),174.75,345.68,b7(2+),1285.9477160105107,257.0994650788021,0.37
,y1(1+),174.75,345.68,bi(6-13)(2+),1285.9477160105107,257.0994650788021,0.37
,a4(2+),174.75,345.68,y4-(HCOH)(1+),1285.9477160105107,257.0994650788021,0.528
,y1(1+),174.75,345.68,b4-(HCOH)(1+),1285.9477160105107,257.0994650788021,0.598
,y1(1+),174.75,345.68,bi(9-13)-(HCOH)-(HCOH)(1+),1285.9477160105107,257.0994650788021,0.598
,bi(9-10)-(HCOH)(1+),174.75,345.68,y4-(HCOH)(1+),1285.9477160105107,257.0994650788021,0.605
,bi(9-10)-(HCOH)(1+),174.75,345.68,a8-(HCOH)(2+),1285.9477160105107,257.0994650788021,0.605
