col0	col1	col2	col3	col4	col5	THEO_MONO_MZ_1	THEO_MONO_MASS_1	THEO_INTE_SUM_1	THEO_CHARGE_1	THEO_MONO_MZ_2	THEO_MONO_MASS_2	THEO_INTE_SUM_2	THEO_CHARGE_2
726.770015	903.022732	217307.94	199526.48	123.47205	33859	726.7699176	3628.81320567	45374477.54665967	5.0	902.727903	15329.25065106	117527962.48670997	17.0
726.770015	903.694423	32297.031	8973.0148	6.3271644	837593	726.7699176	3628.81320567	45374477.54665967	5.0	903.16689058	17141.03266813	22413995.42831583	19.0
726.770015	903.830276	190158.25	153340.35	85.643437	149271	726.7699176	3628.81320567	45374477.54665967	5.0	903.578295	10830.8522224	71849865.70733096	12.0
726.770015	905.022964	9366.2939	-14972.311	-11.54487	1035734	726.7699176	3628.81320567	45374477.54665967	5.0	904.6193954	4518.06059467	24597030.15417183	5.0
726.770015	905.082475	-5460.8103	-27119.295	-22.705326	1145891	726.7699176	3628.81320567	45374477.54665967	5.0	904.55447458	17167.39676413	21661896.51785499	19.0
726.770015	906.162345	54177.843	32784.805	25.51095	633646	726.7699176	3628.81320567	45374477.54665967	5.0	905.66202092	10855.8569334	23781779.2837717	12.0
726.770015	906.439214	55420.242	27739.192	19.159414	700390	726.7699176	3628.81320567	45374477.54665967	5.0	906.0483825	16290.7399086	77035925.0811002	18.0
726.770015	906.821803	152947.69	111892.41	64.111091	281130	726.7699176	3628.81320567	45374477.54665967	5.0	906.53525586	6338.69585573	45035753.92466616	7.0
726.770015	906.930474	154306.84	117599.58	66.548983	263670	726.7699176	3628.81320567	45374477.54665967	5.0	906.4308395	14486.77700853	35285754.21382965	16.0
726.770015	907.272353	38273.457	7942.5561	7.1648676	828676	726.7699176	3628.81320567	45374477.54665967	5.0	906.99353556	16307.7526636	136564671.7354698	18.0
726.770015	908.741778	-70297.414	-68160.556	-66.001851	1499057	726.7699176	3628.81320567	45374477.54665967	5.0	908.3382104	4536.65466967	18576841.8067121	5.0
726.770015	908.887299	-129482.24	-150495.76	-130.62467	1783647	726.7699176	3628.81320567	45374477.54665967	5.0	908.60598839	16336.7768146	140427075.59757653	18.0
726.770015	909.717771	-79113.605	-121381.03	-74.881609	1554438	726.7699176	3628.81320567	45374477.54665967	5.0	909.38290578	16350.7613276	107288500.19689764	18.0
