,m/z A,m/z B,Ranking,comp_1_m/z A,comp_5_m/z B,1*m/z A + 5*m/z B,comp_2_m/z A,comp_4_m/z B,2*m/z A + 4*m/z B,comp_3_m/z A,comp_3_m/z B,3*m/z A + 3*m/z B,comp_4_m/z A,comp_2_m/z B,4*m/z A + 2*m/z B,comp_5_m/z A,comp_1_m/z B,5*m/z A + 1*m/z B,1*m/z A + 4*m/z B,2*m/z A + 3*m/z B,3*m/z A + 2*m/z B,4*m/z A + 1*m/z B
137241,548.283439,1057.627397,66,548.283439,5288.136985,5836.420424,1096.566878,4230.509588,5327.076466,1644.8503170000001,3172.8821909999997,4817.732508,2193.133756,2115.254794,4308.38855,2741.417195,1057.627397,3799.044592,4778.793027,4269.449069,3760.105111,3250.7611530000004
43218,596.846292,824.07702803,67,596.846292,4120.38514015,4717.23143215,1193.692584,3296.30811212,4490.00069612,1790.5388759999998,2472.23108409,4262.76996009,2387.385168,1648.15405606,4035.5392240599995,2984.23146,824.07702803,3808.30848803,3893.1544041199995,3665.92366809,3438.6929320599997,3211.4621960299996
8947,793.472878,870.755308,68,793.472878,4353.77654,5147.249417999999,1586.945756,3483.021232,5069.966988,2380.418634,2612.2659240000003,4992.684558000001,3173.891512,1741.510616,4915.402128,3967.36439,870.755308,4838.119698,4276.49411,4199.21168,4121.92925,4044.64682
8931,793.472878,871.007019,69,793.472878,4355.035095,5148.507973,1586.945756,3484.028076,5070.973832,2380.418634,2613.021057,4993.439691,3173.891512,1742.014038,4915.90555,3967.36439,871.007019,4838.371409,4277.500954,4199.966813,4122.432672,4044.8985310000003
176725,622.859836,1008.925939,70,622.859836,5044.629695,5667.489530999999,1245.719672,4035.703756,5281.423428,1868.5795079999998,3026.777817,4895.357325,2491.439344,2017.851878,4509.291222,3114.29918,1008.925939,4123.225119,4658.5635919999995,4272.497489,3886.4313859999997,3500.365283
11866,711.742474,787.937478,71,711.742474,3939.68739,4651.429864,1423.484948,3151.749912,4575.2348600000005,2135.227422,2363.8124340000004,4499.039856,2846.969896,1575.874956,4422.844852,3558.71237,787.937478,4346.649848,3863.4923860000004,3787.2973820000007,3711.102378,3634.9073740000003
29382,725.415372,856.521888,72,725.415372,4282.60944,5008.024812000001,1450.830744,3426.087552,4876.918296,2176.2461160000003,2569.5656639999997,4745.81178,2901.661488,1713.043776,4614.705264,3627.07686,856.521888,4483.598748,4151.502924,4020.3964079999996,3889.2898920000002,3758.183376
38406,844.479543,850.832534,73,844.479543,4254.16267,5098.642213,1688.959086,3403.330136,5092.289222,2533.438629,2552.497602,5085.936231,3377.918172,1701.665068,5079.58324,4222.397715,850.832534,5073.230249,4247.809679,4241.456688,4235.1036970000005,4228.750706
71959,801.4479,862.10989707,74,801.4479,4310.54948535,5111.9973853500005,1602.8958,3448.43958828,5051.33538828,2404.3437,2586.32969121,4990.67339121,3205.7916,1724.21979414,4930.0113941399995,4007.2395,862.10989707,4869.34939707,4249.88748828,4189.22549121,4128.56349414,4067.90149707
39073,1014.930057,1077.550164,75,1014.930057,5387.75082,6402.680877000001,2029.860114,4310.200656,6340.06077,3044.790171,3232.6504919999998,6277.440662999999,4059.720228,2155.100328,6214.820556000001,5074.650285,1077.550164,6152.200449,5325.1307130000005,5262.510606,5199.890499,5137.270392
87113,919.286295,1079.602103,76,919.286295,5398.010515,6317.29681,1838.57259,4318.408412,6156.9810019999995,2757.858885,3238.8063089999996,5996.665193999999,3677.14518,2159.204206,5836.349386,4596.431475,1079.602103,5676.0335780000005,5237.694707,5077.378898999999,4917.063091,4756.747283
13333,654.637758,856.09661503,77,654.637758,4280.483075149999,4935.120833149999,1309.275516,3424.38646012,4733.66197612,1963.913274,2568.2898450899997,4532.20311909,2618.551032,1712.19323006,4330.7442620599995,3273.1887899999997,856.09661503,4129.285405029999,4079.0242181199997,3877.56536109,3676.1065040599997,3474.64764703
71755,801.4479,830.67714703,78,801.4479,4153.38573515,4954.83363515,1602.8958,3322.70858812,4925.60438812,2404.3437,2492.03144109,4896.37514109,3205.7916,1661.35429406,4867.1458940600005,4007.2395,830.67714703,4837.916647030001,4124.15648812,4094.9272410900003,4065.69799406,4036.46874703
71855,801.4479,831.07847103,79,801.4479,4155.392355149999,4956.840255149999,1602.8958,3324.31388412,4927.20968412,2404.3437,2493.23541309,4897.57911309,3205.7916,1662.15694206,4867.948542059999,4007.2395,831.07847103,4838.31797103,4125.76178412,4096.13121309,4066.50064206,4036.87007103
13739,654.637758,737.26637019,80,654.637758,3686.33185095,4340.96960895,1309.275516,2949.06548076,4258.34099676,1963.913274,2211.79911057,4175.71238457,2618.551032,1474.53274038,4093.0837723799996,3273.1887899999997,737.26637019,4010.45516019,3603.7032387599997,3521.07462657,3438.4460143799997,3355.81740219
7362,227.175949,829.474667,81,227.175949,4147.373335,4374.549284000001,454.351898,3317.898668,3772.2505659999997,681.5278470000001,2488.424001,3169.9518479999997,908.703796,1658.949334,2567.6531299999997,1135.879745,829.474667,1965.354412,3545.0746169999998,2942.7758989999998,2340.477181,1738.178463
9839,825.733837,1079.602103,82,825.733837,5398.010515,6223.744352,1651.467674,4318.408412,5969.876086,2477.201511,3238.8063089999996,5716.00782,3302.935348,2159.204206,5462.139553999999,4128.669185,1079.602103,5208.271288,5144.1422489999995,4890.273982999999,4636.405717,4382.537451
13931,816.07608403,973.224866,83,816.07608403,4866.124330000001,5682.2004140300005,1632.15216806,3892.899464,5525.05163206,2448.22825209,2919.674598,5367.90285009,3264.30433612,1946.449732,5210.75406812,4080.3804201499997,973.224866,5053.605286149999,4708.97554803,4551.8267660599995,4394.67798409,4237.52920212
10259,978.900162,1014.930057,84,978.900162,5074.650285,6053.550447,1957.800324,4059.720228,6017.520552,2936.700486,3044.790171,5981.490657,3915.600648,2029.860114,5945.460762000001,4894.5008100000005,1014.930057,5909.430867000001,5038.62039,5002.590495,4966.560600000001,4930.530705
