,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
119,817.84918,1067.085992,136,3769.870344,2,2,b15+1,y18+2,2.9999999999998654,"b+1, y+2",0.0073400000003402965,0.008346000000074127,0.00017399999933331856,1634.6831799999998,2133.17249
127,883.745171,1118.6357,151,3769.8712130000004,3,1,b24+1,y9+2,2.9999999999998654,"b+1, y+2",0.011993000000074971,0.01213000000007014,0.0010429999997541017,2649.20784,1118.64783
131,466.780285,1418.156315,159,3769.8732,2,2,y8+2,b25+1,2.9999999999998654,"b+1, y+2",0.01579000000015185,0.017639999999573774,0.0030299999993985693,932.5685200000001,2835.28715
133,236.097145,1177.924993,161,3769.8721240000004,1,3,y2+2,b31+1,2.9999999999998654,"b+1, y+2",0.017974999999950114,0.018748999999843363,0.0019539999998414714,236.11511999999996,3531.7405500000004
143,673.3845,1211.550859,183,3769.870718,2,2,y11+2,b22+1,2.9999999999998654,"b+1, y+2",0.013660000000072614,0.013027999999849271,0.0005479999995259277,1345.77482,2422.08085
144,596.726614,1288.208948,184,3769.8711240000002,2,2,b11+1,y22+2,2.9999999999998654,"b+1, y+2",0.004948000000013053,0.0051740000008067,0.0009539999996377446,1192.44044,2575.4152300000005
165,804.432863,1080.502759,226,3769.871244,2,2,y13+2,b20+1,2.9999999999998654,"b+1, y+2",0.012284000000136075,0.012177999999948952,0.0010739999993347737,1607.8701700000001,2159.9855
191,578.325551,1063.848577,334,3769.871282,1,3,y5+2,b28+1,2.9999999999998654,"b+1, y+2",0.01626900000007936,0.016200999999909982,0.0011119999994662066,578.3418200000001,3189.5138500000003
197,897.155745,1078.403681,399,3769.870916,3,1,y23+2,b10+1,2.9999999999998654,"b+1, y+2",0.006605000000490691,0.0061709999999948195,0.0007459999992533994,2689.4581600000006,1078.39751
206,474.183898,1410.751853,447,3769.871502,2,2,b9+1,y24+2,2.9999999999998654,"b+1, y+2",0.002936000000090644,0.0027840000007017807,0.0013319999993655074,947.3570199999999,2820.4986500000005
