m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B
230.1225	610.3455	9262823.0	7737286.6	241.87892	112	17446.246094	3619.981201
428.2156	675.3659	2041872.3	2001235.6	241.71446	113	1113.214722	1951.312866
675.3659	428.2156	2041872.3	2001235.6	241.71446	113	1951.312866	1113.214722
530.2879	202.1275	9230350.8	7800214.8	241.35567	114	3393.131836	11413.832031
202.1275	530.2879	9230350.8	7800214.8	241.35567	114	11413.832031	3393.131836
428.2156	1079.6018	2445584.4	2336638.3	239.91477	115	1113.214722	4105.001465
1079.6018	428.2156	2445584.4	2336638.3	239.91477	115	4105.001465	1113.214722
1008.5639	757.4601	5262373.7	4863298.4	239.40723	116	9142.976563	3421.105713
757.4601	1008.5639	5262373.7	4863298.4	239.40723	116	3421.105713	9142.976563
183.1134	460.254	3410016.0	3319719.2	238.38232	117	6728.792969	1506.11792
460.254	183.1134	3410016.0	3319719.2	238.38232	117	1506.11792	6728.792969
476.2737	201.1241	46224737.0	23883178.0	238.22193	118	3789.731445	237872.515625
201.1241	476.2737	46224737.0	23883178.0	238.22193	118	237872.515625	3789.731445
654.3592	300.1564	23093398.0	14838616.0	238.1415	119	108949.34375	2384.458984
300.1564	654.3592	23093398.0	14838616.0	238.1415	119	2384.458984	108949.34375
746.3077	371.1938	2169543.2	2109686.1	237.96692	120	1188.781494	2637.109131
371.1938	746.3077	2169543.2	2109686.1	237.96692	120	2637.109131	1188.781494
1091.5547	229.119	15701158.0	11690061.0	237.50429	121	1144.434814	306551.5625
229.119	1091.5547	15701158.0	11690061.0	237.50429	121	306551.5625	1144.434814
183.1134	272.1614	1763351.0	1630849.0	237.31073	122	6728.792969	948.329224
272.1614	183.1134	1763351.0	1630849.0	237.31073	122	948.329224	6728.792969
660.3871	680.8728	4114211.3	3957492.6	236.97793	123	823.527344	5308.11084
680.8728	660.3871	4114211.3	3957492.6	236.97793	123	5308.11084	823.527344
879.3997	599.3058	2306642.2	2234963.8	236.47792	124	2645.866943	2404.958496
599.3058	879.3997	2306642.2	2234963.8	236.47792	124	2404.958496	2645.866943
645.8503	298.1043	2231912.5	2171556.9	236.31302	125	1344.75354	1403.57019
298.1043	645.8503	2231912.5	2171556.9	236.31302	125	1403.57019	1344.75354
298.1043	202.1275	3132128.4	2793355.9	235.36552	126	1403.57019	11413.832031
202.1275	298.1043	3132128.4	2793355.9	235.36552	126	11413.832031	1403.57019
599.3058	195.0883	1247006.4	1205739.3	233.53968	127	2404.958496	1063.230103
195.0883	599.3058	1247006.4	1205739.3	233.53968	127	1063.230103	2404.958496
489.7371	1008.5639	3351142.8	3154544.6	232.31017	128	1868.962158	3074.820557
1008.5639	489.7371	3351142.8	3154544.6	232.31017	128	3074.820557	1868.962158
530.2879	288.204	7462262.7	7321475.2	232.13133	129	12948.754883	3243.247559
288.204	530.2879	7462262.7	7321475.2	232.13133	129	3243.247559	12948.754883
759.392	757.4601	1558185.3	1534084.8	231.94567	130	1625.219482	906.667358
757.4601	759.392	1558185.3	1534084.8	231.94567	130	906.667358	1625.219482
429.1995	530.2879	5134205.8	4674495.1	231.72728	131	3445.552979	3393.131836
530.2879	429.1995	5134205.8	4674495.1	231.72728	131	3393.131836	3445.552979
661.3574	401.2886	2587007.4	2508430.4	231.64036	132	4881.635254	877.062744
401.2886	661.3574	2587007.4	2508430.4	231.64036	132	877.062744	4881.635254
1204.639	746.3077	2005251.4	1972433.2	228.59268	133	1037.281006	1188.781494
746.3077	1204.639	2005251.4	1972433.2	228.59268	133	1188.781494	1037.281006
689.8778	524.2845	37005032.0	44001988.0	228.5187	134	747632.125	1718.238281
524.2845	689.8778	37005032.0	44001988.0	228.5187	134	1718.238281	747632.125
521.2977	530.2879	10195113.0	10189084.0	228.45394	135	967.337646	9164.602539
530.2879	521.2977	10195113.0	10189084.0	228.45394	135	9164.602539	967.337646
504.7846	754.3995	20922519.0	17632805.0	228.1433	136	1582.523926	112829.5625
754.3995	504.7846	20922519.0	17632805.0	228.1433	136	112829.5625	1582.523926
596.8456	298.1043	5788007.9	4972690.0	226.21695	137	25816.384766	1403.57019
298.1043	596.8456	5788007.9	4972690.0	226.21695	137	1403.57019	25816.384766
504.7846	565.2752	4136849.1	3863778.9	225.21528	138	10414.665039	1313.338379
565.2752	504.7846	4136849.1	3863778.9	225.21528	138	1313.338379	10414.665039
814.482	689.8778	5366195.9	4933586.2	223.86318	139	21098.802734	928.243469
689.8778	814.482	5366195.9	4933586.2	223.86318	139	928.243469	21098.802734
661.3574	425.7076	2465754.5	2444555.2	222.89644	140	2368.92749	750.10376
425.7076	661.3574	2465754.5	2444555.2	222.89644	140	750.10376	2368.92749
814.482	524.2845	7298465.2	7456391.9	221.9727	141	21098.802734	1718.238281
524.2845	814.482	7298465.2	7456391.9	221.9727	141	1718.238281	21098.802734
183.1134	500.2372	2926748.7	2644747.4	221.91247	142	6728.792969	1889.202759
500.2372	183.1134	2926748.7	2644747.4	221.91247	142	1889.202759	6728.792969
1091.5547	175.1196	2661122.5	2564716.9	220.60072	143	1144.434814	8633.249023
175.1196	1091.5547	2661122.5	2564716.9	220.60072	143	8633.249023	1144.434814
517.2765	504.7846	6333666.0	6132236.7	220.36805	144	1389.94873	10414.665039
504.7846	517.2765	6333666.0	6132236.7	220.36805	144	10414.665039	1389.94873
411.189	540.3033	18342433.0	12867926.0	219.84885	145	2833.304199	81014.875
540.3033	411.189	18342433.0	12867926.0	219.84885	145	81014.875	2833.304199
554.2588	401.2886	1235532.6	1226139.9	219.16301	146	1102.149048	877.062744
401.2886	554.2588	1235532.6	1226139.9	219.16301	146	877.062744	1102.149048
721.8903	540.3033	4465766.0	4354527.8	218.36561	147	1241.314209	4290.990234
540.3033	721.8903	4465766.0	4354527.8	218.36561	147	4290.990234	1241.314209
654.3592	428.2156	9636905.6	8438541.6	218.1321	148	48794.230469	1113.214722
428.2156	654.3592	9636905.6	8438541.6	218.1321	148	1113.214722	48794.230469
397.1966	397.1732	2397941.1	2330851.1	218.04638	149	2682.680664	1189.528931
397.1732	397.1966	2397941.1	2330851.1	218.04638	149	1189.528931	2682.680664
371.1938	745.3944	10403635.0	8782545.3	217.75219	150	2637.109131	32134.046875
745.3944	371.1938	10403635.0	8782545.3	217.75219	150	32134.046875	2637.109131
528.2686	504.7846	6640848.5	5896153.7	217.50306	151	1108.264771	31507.433594
504.7846	528.2686	6640848.5	5896153.7	217.50306	151	31507.433594	1108.264771
156.1024	754.3995	1386138.1	1334932.9	217.29317	152	968.253174	902.466309
754.3995	156.1024	1386138.1	1334932.9	217.29317	152	902.466309	968.253174
680.8728	524.2845	8884226.1	8877733.4	217.07103	153	11494.71582	2029.298462
524.2845	680.8728	8884226.1	8877733.4	217.07103	153	2029.298462	11494.71582
300.1564	645.8503	6890493.7	5618428.4	217.01908	154	33528.605469	997.601074
645.8503	300.1564	6890493.7	5618428.4	217.01908	154	997.601074	33528.605469
814.482	680.8728	2154056.8	2023439.5	215.43671	155	5392.56543	969.298584
680.8728	814.482	2154056.8	2023439.5	215.43671	155	969.298584	5392.56543
300.1564	1107.5126	5090113.4	4106978.7	215.35349	156	33528.605469	1140.27771
1107.5126	300.1564	5090113.4	4106978.7	215.35349	156	1140.27771	33528.605469
721.8903	680.8728	4497260.0	4372244.3	215.17121	157	1241.314209	5133.5625
680.8728	721.8903	4497260.0	4372244.3	215.17121	157	5133.5625	1241.314209
397.1732	596.8456	5196195.5	4708138.1	215.16504	158	1189.528931	25816.384766
596.8456	397.1732	5196195.5	4708138.1	215.16504	158	25816.384766	1189.528931
397.1732	540.3033	9947814.9	8321301.9	214.96881	159	1189.528931	81014.875
