m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	charge_A	envelope_id_A	monoisotopic_mass_A	deconvoluted_mz_A	charge_B	envelope_id_B	monoisotopic_mass_B	deconvoluted_mz_B
156.102426	690.379342	-5241541.4	-16628252.0	-240.26704	14187	1	44	155.0951	156.1024	2	13048	1375.726	1376.7333
156.102426	690.880814	-6138596.3	-8628717.5	-277.59297	14463	1	67	155.0951	156.1024	2	13024	1375.726	1376.7333
156.102426	691.382239	68353.039	23717.377	6.2719487	5917	1	68	155.0951	156.1024	2	13019	1375.726	1376.7333
156.102426	694.319024	529386.59	486844.8	134.97842	810	1	69	155.0951	156.1024	1	13171	693.3117	694.319
156.102426	717.904469	-241872.3	-266499.11	-101.31449	11351	1	70	155.0951	156.1024	1	13330	716.8972	717.9045
156.102426	721.890295	-834229.54	-861074.93	-303.1885	14612	1	71	155.0951	156.1024	2	13522	1441.766	1442.7733
156.102426	722.392114	-635193.88	-668909.28	-236.0256	14146	1	72	155.0951	156.1024	2	13516	1441.766	1442.7733
156.102426	725.878589	-438731.86	-471535.76	-154.84221	12878	1	73	155.0951	156.1024	2	13737	1449.7426	1450.7499
156.102426	726.38	-34817.871	-67288.484	-20.310333	7702	1	74	155.0951	156.1024	2	13664	1449.7426	1450.7499
156.102426	731.912667	-122171.98	-156787.38	-52.178797	9264	1	76	155.0951	156.1024	2	13881	1461.8108	1462.8181
156.102426	732.407144	164048.89	143889.14	33.799713	4450	1	85	155.0951	156.1024	2	13871	1461.8108	1462.8181
156.102426	736.389846	98558.553	107248.79	31.503882	4554	1	77	155.0951	156.1024	1	14022	735.3826	736.3898
156.102426	745.394437	2062893.1	1189937.0	52.402534	3545	1	78	155.0951	156.1024	2	14203	1488.7743	1489.7816
156.102426	745.895269	901404.72	385387.62	25.352519	4897	1	79	155.0951	156.1024	2	14202	1488.7743	1489.7816
156.102426	746.307712	-421549.86	-453782.89	-160.12443	12999	1	80	155.0951	156.1024	1	14434	745.3004	746.3077
156.102426	746.395337	-756941.99	-851411.77	-115.93809	11842	1	81	155.0951	156.1024	2	14235	1488.7743	1489.7816
156.102426	746.892819	-234808.43	-273119.05	-43.340279	8845	1	82	155.0951	156.1024	2	14250	1488.7743	1489.7816
156.102426	747.394056	523836.23	490962.46	92.540972	1924	1	83	155.0951	156.1024	2	14242	1488.7743	1489.7816
156.102426	750.356517	433922.99	389858.35	97.177877	1756	1	84	155.0951	156.1024	1	14596	749.3492	750.3565
156.102426	753.896121	1386138.1	1334932.9	217.29317	152	1	66	155.0951	156.1024	2	14750	1505.7777	1506.785
156.102426	754.399472	4361153.0	-1583217.4	-27.492473	8061	1	75	155.0951	156.1024	2	14720	1505.7777	1506.785
156.102426	754.901072	-705238.51	-3973284.9	-104.46365	11473	1	65	155.0951	156.1024	2	14762	1505.7777	1506.785
156.102426	755.402417	5141435.4	4365929.8	203.34108	188	1	53	155.0951	156.1024	2	14750	1505.7777	1506.785
156.102426	757.460091	389063.96	329099.02	59.110831	3189	1	45	155.0951	156.1024	1	14887	756.4528	757.4601
156.102426	758.462697	-253960.55	-271344.46	-138.66152	12497	1	46	155.0951	156.1024	1	14957	756.4528	757.4601
156.102426	759.391959	125526.12	5382.9733	0.68952185	6245	1	47	155.0951	156.1024	2	15115	1516.7694	1517.7766
156.102426	759.893576	-723696.68	-772256.75	-244.19054	14214	1	48	155.0951	156.1024	2	15105	1516.7694	1517.7766
156.102426	814.482029	1732632.9	1231797.9	84.807342	2182	1	49	155.0951	156.1024	1	15292	813.4747	814.482
156.102426	815.484834	1001632.3	902796.35	136.56378	782	1	50	155.0951	156.1024	1	15275	813.4747	814.482
156.102426	879.399748	55696.818	-1579.8464	-0.27954731	6648	1	51	155.0951	156.1024	1	15343	878.3925	879.3997
156.102426	951.541865	1114370.2	1021259.9	140.17093	721	1	52	155.0951	156.1024	1	15590	950.5346	951.5419
156.102426	952.544553	529196.37	491027.55	89.396197	2023	1	54	155.0951	156.1024	1	15589	950.5346	951.5419
156.102426	978.469136	-453063.95	-506740.46	-169.19911	13197	1	63	155.0951	156.1024	1	15785	977.4619	978.4691
156.102426	1008.563901	-1532716.4	-1765824.5	-252.59119	14294	1	55	155.0951	156.1024	1	15946	1007.5566	1008.5639
156.102426	1009.566717	-482657.18	-591899.64	-145.01235	12662	1	56	155.0951	156.1024	1	16005	1007.5566	1008.5639
156.102426	1079.601791	36255.834	-101632.27	-16.499924	7489	1	57	155.0951	156.1024	1	16137	1078.5945	1079.6018
156.102426	1080.604578	-41047.39	-76811.581	-23.892818	7885	1	58	155.0951	156.1024	1	16160	1078.5945	1079.6018
156.102426	1091.55473	-257596.01	-275470.26	-122.12386	12026	1	59	155.0951	156.1024	1	16278	1090.5474	1091.5547
156.102426	1107.512648	227562.86	192271.71	61.779248	3066	1	60	155.0951	156.1024	1	16483	1106.5054	1107.5126
156.102426	1204.639002	-146728.3	-176407.68	-45.499802	8953	1	61	155.0951	156.1024	1	16530	1203.6317	1204.639
156.102426	1205.641873	192243.72	156581.11	51.409886	3590	1	62	155.0951	156.1024	1	16592	1203.6317	1204.639
175.119605	156.102426	1766662.6	1577744.0	183.25187	282	1	305	174.1123	175.1196	1	172	155.0951	156.1024
175.119605	175.119605	227322810.0	226303870.0	3558.3619	-1	1	286	174.1123	175.1196	1	335	174.1123	175.1196
175.119605	183.113388	-1206682.5	-2240425.2	-116.38259	11855	1	287	174.1123	175.1196	1	520	182.1061	183.1134
175.119605	187.072039	953013.7	828697.13	103.92282	1547	1	288	174.1123	175.1196	1	536	186.0648	187.072
175.119605	195.08835	200729.13	22873.254	3.1307894	6096	1	289	174.1123	175.1196	1	852	194.0811	195.0884
175.119605	201.087675	-752823.34	-869331.97	-124.10507	12079	1	290	174.1123	175.1196	1	1043	200.0804	201.0877
175.119605	201.124072	50396588.0	17106459.0	156.36878	520	1	291	174.1123	175.1196	1	1212	200.1168	201.1241
175.119605	202.121175	231058.04	119821.13	16.084342	5379	1	292	174.1123	175.1196	1	1047	200.1168	201.1241
175.119605	202.127494	-1023870.7	-2609054.4	-106.0659	11537	1	294	174.1123	175.1196	1	1343	201.1202	202.1275
175.119605	229.119049	29252952.0	-13141590.0	-101.16781	11343	1	303	174.1123	175.1196	1	1506	228.1118	229.119
175.119605	230.116129	-203200.0	-324610.9	-43.57197	8858	1	295	174.1123	175.1196	1	1542	228.1118	229.119
175.119605	230.122528	-1450014.8	-3969825.5	-124.15053	12084	1	296	174.1123	175.1196	1	1629	229.1152	230.1225
175.119605	266.125697	1651195.0	1493528.9	181.38021	301	1	297	174.1123	175.1196	1	1792	265.1184	266.1257
175.119605	272.161442	-736453.54	-867058.32	-127.44238	12186	1	298	174.1123	175.1196	1	1966	271.1542	272.1614
175.119605	288.204002	945585.06	519292.54	37.369006	4274	1	299	174.1123	175.1196	1	2129	287.1967	288.204
175.119605	298.104311	-162613.75	-380373.64	-44.850329	8929	1	300	174.1123	175.1196	1	2421	297.097	298.1043
175.119605	300.156407	1057653.4	-4205206.7	-93.542871	11065	1	301	174.1123	175.1196	1	2569	299.1491	300.1564
175.119605	301.159861	-2019526.9	-2483491.4	-217.47447	13932	1	302	174.1123	175.1196	1	2567	299.1491	300.1564
175.119605	316.114992	1227608.8	831241.05	61.277042	3087	1	284	174.1123	175.1196	1	2683	315.1077	316.115
175.119605	371.193813	584167.51	233343.37	18.30221	5271	1	293	174.1123	175.1196	1	2809	370.1865	371.1938
175.119605	383.194391	1199780.7	546607.49	30.684003	4597	1	283	174.1123	175.1196	1	3130	382.1871	383.1944
175.119605	397.173179	2164892.8	2034539.5	202.46112	192	1	271	174.1123	175.1196	1	3158	396.1659	397.1732
175.119605	397.19662	-115327.02	-639754.03	-35.346374	8463	1	263	174.1123	175.1196	1	3424	396.1893	397.1966
175.119605	398.232448	-355459.15	-478579.84	-45.830692	8962	1	264	174.1123	175.1196	1	3647	397.2252	398.2324
175.119605	399.225909	-1795188.6	-1832683.8	-269.87697	14415	1	265	174.1123	175.1196	1	3586	397.2252	398.2324
175.119605	401.20454	684718.56	492844.73	54.583632	3424	1	266	174.1123	175.1196	1	3731	400.1973	401.2045
175.119605	401.288604	563409.2	-452212.66	-19.096744	7646	1	267	174.1123	175.1196	1	3999	400.2813	401.2886
175.119605	402.292021	275843.26	181069.43	22.149895	5049	1	268	174.1123	175.1196	1	3986	400.2813	401.2886
175.119605	411.188975	-858779.76	-1297522.0	-88.316551	10861	1	269	174.1123	175.1196	1	4029	410.1817	411.189
175.119605	415.183883	2534664.9	344156.83	10.738179	5686	1	270	174.1123	175.1196	1	4197	414.1766	415.1839
175.119605	416.187017	1837842.6	1536039.4	127.30573	945	1	272	174.1123	175.1196	1	4207	414.1766	415.1839
175.119605	425.707564	-143626.25	-185659.65	-22.344793	7797	1	281	174.1123	175.1196	1	4438	424.7003	425.7076
175.119605	428.215597	-251860.86	-401126.47	-45.548707	8954	1	273	174.1123	175.1196	1	4562	427.2083	428.2156
175.119605	429.1995	1147176.4	637626.39	40.962609	4096	1	274	174.1123	175.1196	1	4666	427.2083	428.2156
175.119605	460.254049	-707002.45	-796006.4	-53.47076	9318	1	275	174.1123	175.1196	3	4833	1377.7403	1378.7476
175.119605	460.588166	524411.62	404856.53	35.950321	4338	1	276	174.1123	175.1196	3	4756	1377.7403	1378.7476
175.119605	475.739504	-1600894.0	-1772313.3	-250.5961	14278	1	277	174.1123	175.1196	1	5024	474.7322	475.7395
175.119605	476.273741	2069301.4	125158.24	3.23067	6091	1	278	174.1123	175.1196	2	5203	950.5329	951.5402
175.119605	476.775123	3176280.4	2492451.7	122.36926	1063	1	279	174.1123	175.1196	2	5142	950.5329	951.5402
175.119605	482.226425	168823.76	-87832.907	-8.3797284	7073	1	280	174.1123	175.1196	1	5226	481.2191	482.2264
175.119605	482.262768	31968.378	-127655.79	-18.564507	7612	1	282	174.1123	175.1196	1	5565	481.2555	482.2628
175.119605	486.22122	822837.22	711006.4	84.866864	2180	1	304	174.1123	175.1196	1	5643	485.2139	486.2212
175.119605	487.266092	-2284218.4	-2719709.2	-176.4755	13334	1	261	174.1123	175.1196	2	5820	972.5176	973.5249
175.119605	487.767518	-328797.27	-428864.69	-44.943994	8932	1	306	174.1123	175.1196	2	5892	972.5176	973.5249
175.119605	489.73711	-1727413.3	-2067400.5	-147.18143	12707	1	329	174.1123	175.1196	1	5955	488.7298	489.7371
175.119605	494.237812	-1214410.1	-1233572.4	-153.88652	12854	1	330	174.1123	175.1196	1	6102	493.2305	494.2378
